id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
46,Subscriber construction,Make subsriber,21.3945,20.8399,22.7136,0.95,Linux CLANG,typo (d5656d61),rpp
47,Subscriber construction,Make copy of subscriber,4.85456,4.83295,4.95901,0.95,Linux CLANG,typo (d5656d61),rpp
48,Subscriber construction,Transform subsriber to dynamic,21.8689,21.8048,22.0537,0.95,Linux CLANG,typo (d5656d61),rpp
49,Observable subscribe,Specific observable subscribe specific observer,30.9817,27.7164,46.1663,0.95,Linux CLANG,typo (d5656d61),rpp
50,Observable subscribe,Specific observable subscribe dynamic observer,41.9477,30.9179,95.2008,0.95,Linux CLANG,typo (d5656d61),rpp
51,Observable subscribe,Dynamic observable subscribe specific observer,55.0745,54.5821,56.2436,0.95,Linux CLANG,typo (d5656d61),rpp
52,Observable subscribe,Dynamic observable subscribe dynamic observer,34.414,33.7363,35.9658,0.95,Linux CLANG,typo (d5656d61),rpp
53,Observable lift,Specific observable lift specific observer,32.3133,32.0012,33.1185,0.95,Linux CLANG,typo (d5656d61),rpp
54,Observable lift,Specific observable lift dynamic observer,40.144,39.0767,44.6731,0.95,Linux CLANG,typo (d5656d61),rpp
55,Observable lift,Dynamic observable lift specific observer,55.7236,55.4634,56.7401,0.95,Linux CLANG,typo (d5656d61),rpp
56,Observable lift,Dynamic observable lift dynamic observer,46.5484,46.2201,47.3682,0.95,Linux CLANG,typo (d5656d61),rpp
57,Observable construction,Specific observable construction,0.80772,0.803782,0.817028,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
58,Observable construction,Dynamic observable construction,69.6006,69.3966,70.0754,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
59,Observable construction,Specific observable construction + as_dynamic,69.4488,69.2133,70.097,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
60,Observer construction,Specific observer construction,0.418488,0.417895,0.41993,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
61,Observer construction,Dynamic observer construction,68.805,68.6379,69.1616,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
62,Observer construction,Specific observer construction + as_dynamic,69.8128,69.5475,70.6173,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
63,OnNext,Specific observer OnNext,0.445599,0.444912,0.447063,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
64,OnNext,Dynamic observer OnNext,1.75325,1.6322,2.35069,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
65,Subscriber construction,Make subsriber,84.9175,84.6632,85.4914,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
66,Subscriber construction,Make copy of subscriber,16.0798,16.0543,16.1328,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
