id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
5536,Observable subscribe,Specific observable subscribe specific observer,116.223,115.384,117.905,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5537,Observable subscribe,Specific observable subscribe dynamic observer,130.021,129.622,130.922,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5538,Observable subscribe,Dynamic observable subscribe specific observer,197.328,195.891,200.469,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5539,Observable subscribe,Dynamic observable subscribe dynamic observer,131.772,131.238,132.922,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5540,Observable lift,Specific observable lift specific observer,150.143,149.661,151.351,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5541,Observable lift,Specific observable lift dynamic observer,177.625,176.5,180.479,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5542,Observable lift,Dynamic observable lift specific observer,260.874,259.789,263.695,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5543,Observable lift,Dynamic observable lift dynamic observer,243.138,228.638,280.31,0.95,Windows MSVC,improve graph genera... (19f7a44f),rpp
5544,Observable construction,Specific observable construction,0.673074,0.670178,0.680184,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5545,Observable construction,Specific observable construction + as_dynamic,124.785,124.229,126.629,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5546,Observable subscribe #2,Specific observable subscribe lambda,870.8,864.033,889.767,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5547,Observable subscribe #2,Dynamic observable subscribe lambda,1054.84,1046.24,1084.88,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5548,Observable subscribe #2,Specific observable subscribe specific subscriber,869.667,863.633,891.367,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5549,Observable subscribe #2,Dynamic observable subscribe specific subscriber,1055.96,1047.12,1086.54,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5550,Observable subscribe #2,Specific observable subscribe dynamic observer,900.821,892.643,922.143,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5551,Observable subscribe #2,Dynamic observable subscribe dynamic observer,935.679,928.714,955.464,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5552,Observer construction,Specific observer construction,0.673296,0.670171,0.680446,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5553,Observer construction,Dynamic observer construction,114.726,114.283,115.843,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5554,Observer construction,Specific observer construction + as_dynamic,114.448,114.018,115.552,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5555,OnNext,Specific observer OnNext,0.671034,0.669457,0.675099,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5556,OnNext,Dynamic observer OnNext,2.01216,2.00837,2.02125,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5557,Subscriber construction,Make subsriber,358.408,355.155,366.507,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5558,Subscriber construction,Make copy of subscriber,34.1344,34.0444,34.3145,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5559,Subscriber construction,Transform subsriber to dynamic,155.693,154.964,157.38,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5560,Observable subscribe,Specific observable subscribe specific observer,1204.38,1191.95,1252.43,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5561,Observable subscribe,Specific observable subscribe dynamic observer,1233.76,1221.33,1285.43,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5562,Observable subscribe,Dynamic observable subscribe specific observer,1387.11,1372.37,1445.0,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5563,Observable subscribe,Dynamic observable subscribe dynamic observer,1272.48,1259.81,1321.0,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5564,Observable lift,Specific observable lift specific observer,1246.38,1233.71,1295.95,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5565,Observable lift,Specific observable lift dynamic observer,1291.05,1278.2,1345.45,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5566,Observable lift,Dynamic observable lift specific observer,1436.72,1422.22,1494.94,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5567,Observable lift,Dynamic observable lift dynamic observer,1337.9,1324.35,1391.4,0.95,Windows MSVC,improve graph genera... (19f7a44f),rxcpp
5568,Observable construction,Specific observable construction,0.815879,0.802677,0.835993,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5569,Observable construction,Dynamic observable construction,25.3031,24.975,25.8868,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5570,Observable construction,Specific observable construction + as_dynamic,24.5486,24.1809,25.1012,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5571,Observable subscribe #2,Specific observable subscribe lambda,7.60468,7.49821,7.77749,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5572,Observable subscribe #2,Dynamic observable subscribe lambda,37.4881,36.8815,38.3944,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5573,Observable subscribe #2,Specific observable subscribe specific subscriber,4.43834,4.33641,4.60373,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5574,Observable subscribe #2,Dynamic observable subscribe specific subscriber,36.5738,35.9744,37.4229,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5575,Observable subscribe #2,Specific observable subscribe dynamic observer,5.45706,5.34999,5.58863,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5576,Observable subscribe #2,Dynamic observable subscribe dynamic observer,9.55203,9.50186,9.64368,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5577,Observer construction,Specific observer construction,0.758102,0.744883,0.774026,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5578,Observer construction,Dynamic observer construction,24.7687,24.4638,25.2885,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5579,Observer construction,Specific observer construction + as_dynamic,24.9344,24.89,25.1098,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5580,OnNext,Specific observer OnNext,0.403307,0.401673,0.407902,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5581,OnNext,Dynamic observer OnNext,2.45111,2.4187,2.51127,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5582,Subscriber construction,Make subsriber,22.2189,21.5928,22.9052,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5583,Subscriber construction,Make copy of subscriber,4.29369,4.25477,4.34661,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5584,Subscriber construction,Transform subsriber to dynamic,27.8846,27.6518,28.3804,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5585,Observable subscribe,Specific observable subscribe specific observer,26.4217,26.1783,27.122,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5586,Observable subscribe,Specific observable subscribe dynamic observer,32.7459,32.1448,33.4874,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5587,Observable subscribe,Dynamic observable subscribe specific observer,55.6843,54.1885,57.4239,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5588,Observable subscribe,Dynamic observable subscribe dynamic observer,35.9366,35.1877,36.7999,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5589,Observable lift,Specific observable lift specific observer,33.0986,32.9327,33.4179,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5590,Observable lift,Specific observable lift dynamic observer,44.754,43.929,45.6822,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5591,Observable lift,Dynamic observable lift specific observer,67.7555,66.5558,69.0695,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5592,Observable lift,Dynamic observable lift dynamic observer,52.9603,51.3752,54.7627,0.95,Linux GCC,Update Readme.md (963bb1c2),rpp
5593,Observable construction,Specific observable construction,0.392236,0.388701,0.398293,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5594,Observable construction,Specific observable construction + as_dynamic,31.1681,30.6502,32.5528,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5595,Observable subscribe #2,Specific observable subscribe lambda,325.736,320.959,334.192,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5596,Observable subscribe #2,Dynamic observable subscribe lambda,401.476,397.225,409.477,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5597,Observable subscribe #2,Specific observable subscribe specific subscriber,328.775,324.026,336.58,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5598,Observable subscribe #2,Dynamic observable subscribe specific subscriber,363.201,356.837,372.168,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5599,Observable subscribe #2,Specific observable subscribe dynamic observer,337.752,331.742,346.978,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5600,Observable subscribe #2,Dynamic observable subscribe dynamic observer,371.729,370.986,374.568,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5601,Observer construction,Specific observer construction,0.395179,0.391785,0.401374,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5602,Observer construction,Dynamic observer construction,27.5438,27.404,28.0773,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5603,Observer construction,Specific observer construction + as_dynamic,25.8764,25.6066,26.4794,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5604,OnNext,Specific observer OnNext,0.378881,0.374734,0.387266,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5605,OnNext,Dynamic observer OnNext,2.22801,2.17708,2.29824,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5606,Subscriber construction,Make subsriber,59.8812,58.7955,61.4642,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5607,Subscriber construction,Make copy of subscriber,4.90046,4.82271,5.01106,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5608,Subscriber construction,Transform subsriber to dynamic,35.234,34.7603,35.9884,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5609,Observable subscribe,Specific observable subscribe specific observer,378.22,370.672,388.969,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5610,Observable subscribe,Specific observable subscribe dynamic observer,406.045,398.925,415.841,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5611,Observable subscribe,Dynamic observable subscribe specific observer,422.644,410.143,442.306,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5612,Observable subscribe,Dynamic observable subscribe dynamic observer,441.267,433.099,455.961,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5613,Observable lift,Specific observable lift specific observer,415.528,414.611,418.151,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5614,Observable lift,Specific observable lift dynamic observer,436.459,435.613,439.113,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5615,Observable lift,Dynamic observable lift specific observer,464.395,459.437,474.553,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5616,Observable lift,Dynamic observable lift dynamic observer,460.748,459.879,463.354,0.95,Linux GCC,Update Readme.md (963bb1c2),rxcpp
5617,Observable construction,Specific observable construction,1.00583,1.00407,1.01272,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5618,Observable construction,Dynamic observable construction,21.1465,21.0798,21.3321,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5619,Observable construction,Specific observable construction + as_dynamic,20.2814,20.2377,20.4276,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5620,Observable subscribe #2,Specific observable subscribe lambda,8.27146,8.25643,8.328,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5621,Observable subscribe #2,Dynamic observable subscribe lambda,30.1049,30.0365,30.1663,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5622,Observable subscribe #2,Specific observable subscribe specific subscriber,5.36517,5.35219,5.4268,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5623,Observable subscribe #2,Dynamic observable subscribe specific subscriber,31.2622,31.1854,31.4671,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5624,Observable subscribe #2,Specific observable subscribe dynamic observer,7.03581,7.03154,7.04962,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5625,Observable subscribe #2,Dynamic observable subscribe dynamic observer,7.49388,7.46884,7.55845,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5626,Observer construction,Specific observer construction,1.00774,1.00326,1.02953,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5627,Observer construction,Dynamic observer construction,21.0362,20.9692,21.1088,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5628,Observer construction,Specific observer construction + as_dynamic,20.8527,20.7908,20.9724,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5629,OnNext,Specific observer OnNext,0.670247,0.669007,0.675021,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5630,OnNext,Dynamic observer OnNext,2.00637,2.00576,2.00711,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5631,Subscriber construction,Make subsriber,22.9635,22.8794,23.0837,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5632,Subscriber construction,Make copy of subscriber,4.41545,4.40864,4.44291,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5633,Subscriber construction,Transform subsriber to dynamic,22.7521,22.6947,22.9042,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5634,Observable subscribe,Specific observable subscribe specific observer,29.5008,29.4205,29.7564,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5635,Observable subscribe,Specific observable subscribe dynamic observer,32.7631,32.6374,33.255,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5636,Observable subscribe,Dynamic observable subscribe specific observer,53.9406,53.7802,54.161,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5637,Observable subscribe,Dynamic observable subscribe dynamic observer,31.6133,31.5276,31.8165,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5638,Observable lift,Specific observable lift specific observer,33.7154,33.6505,33.9446,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5639,Observable lift,Specific observable lift dynamic observer,38.7919,38.691,39.0059,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5640,Observable lift,Dynamic observable lift specific observer,56.7564,56.7001,56.7942,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5641,Observable lift,Dynamic observable lift dynamic observer,50.7651,50.6194,51.1532,0.95,Linux CLANG,Update Readme.md (963bb1c2),rpp
5642,Observable construction,Specific observable construction,0.670329,0.668964,0.676605,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5643,Observable construction,Specific observable construction + as_dynamic,27.0394,26.956,27.2696,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5644,Observable subscribe #2,Specific observable subscribe lambda,231.866,231.704,232.034,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5645,Observable subscribe #2,Dynamic observable subscribe lambda,277.994,277.489,279.82,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5646,Observable subscribe #2,Specific observable subscribe specific subscriber,230.59,230.201,231.835,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5647,Observable subscribe #2,Dynamic observable subscribe specific subscriber,280.781,280.114,282.355,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5648,Observable subscribe #2,Specific observable subscribe dynamic observer,251.482,251.053,253.129,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5649,Observable subscribe #2,Dynamic observable subscribe dynamic observer,267.869,267.307,269.94,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5650,Observer construction,Specific observer construction,0.668915,0.668669,0.669161,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5651,Observer construction,Dynamic observer construction,22.9112,22.8525,22.9558,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5652,Observer construction,Specific observer construction + as_dynamic,22.37,22.2749,22.5073,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5653,OnNext,Specific observer OnNext,0.669798,0.668767,0.674413,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5654,OnNext,Dynamic observer OnNext,2.34659,2.34164,2.36651,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5655,Subscriber construction,Make subsriber,64.7307,64.5826,65.2927,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5656,Subscriber construction,Make copy of subscriber,4.68952,4.68535,4.70442,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5657,Subscriber construction,Transform subsriber to dynamic,27.3869,27.2875,27.5097,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5658,Observable subscribe,Specific observable subscribe specific observer,314.555,314.013,316.659,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5659,Observable subscribe,Specific observable subscribe dynamic observer,310.488,309.91,312.508,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5660,Observable subscribe,Dynamic observable subscribe specific observer,340.419,339.823,342.836,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5661,Observable subscribe,Dynamic observable subscribe dynamic observer,331.483,331.188,332.082,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5662,Observable lift,Specific observable lift specific observer,296.298,295.7,298.484,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5663,Observable lift,Specific observable lift dynamic observer,318.983,318.341,321.195,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5664,Observable lift,Dynamic observable lift specific observer,345.334,344.576,347.736,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5665,Observable lift,Dynamic observable lift dynamic observer,334.49,333.489,338.6,0.95,Linux CLANG,Update Readme.md (963bb1c2),rxcpp
5666,Observable construction,Specific observable construction,0.418584,0.417961,0.420017,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5667,Observable construction,Dynamic observable construction,72.438,72.2161,73.0,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5668,Observable construction,Specific observable construction + as_dynamic,72.3247,71.8649,73.2385,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5669,Observable subscribe #2,Specific observable subscribe lambda,35.0268,34.9689,35.1483,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5670,Observable subscribe #2,Dynamic observable subscribe lambda,104.364,103.753,105.791,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5671,Observable subscribe #2,Specific observable subscribe specific subscriber,19.3855,19.296,19.5981,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5672,Observable subscribe #2,Dynamic observable subscribe specific subscriber,108.95,105.845,116.916,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5673,Observable subscribe #2,Specific observable subscribe dynamic observer,19.4338,19.3411,19.6347,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5674,Observable subscribe #2,Dynamic observable subscribe dynamic observer,20.1044,20.0672,20.1739,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5675,Observer construction,Specific observer construction,0.419377,0.417601,0.42391,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5676,Observer construction,Dynamic observer construction,70.5056,69.7861,73.0,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5677,Observer construction,Specific observer construction + as_dynamic,69.3407,69.0693,69.8393,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5678,OnNext,Specific observer OnNext,0.446446,0.445611,0.447953,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5679,OnNext,Dynamic observer OnNext,2.0089,2.00631,2.01512,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5680,Subscriber construction,Make subsriber,85.1014,84.5878,86.1149,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5681,Subscriber construction,Make copy of subscriber,16.0849,16.0596,16.1406,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5682,Subscriber construction,Transform subsriber to dynamic,86.3542,85.9479,87.2847,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5683,Observable subscribe,Specific observable subscribe specific observer,112.653,112.257,113.225,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5684,Observable subscribe,Specific observable subscribe dynamic observer,124.735,124.41,125.265,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5685,Observable subscribe,Dynamic observable subscribe specific observer,175.451,174.239,177.789,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5686,Observable subscribe,Dynamic observable subscribe dynamic observer,125.665,125.075,126.99,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5687,Observable lift,Specific observable lift specific observer,143.592,143.19,144.264,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5688,Observable lift,Specific observable lift dynamic observer,174.271,173.167,176.347,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5689,Observable lift,Dynamic observable lift specific observer,248.412,247.147,251.157,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5690,Observable lift,Dynamic observable lift dynamic observer,224.469,222.221,230.319,0.95,Windows MSVC,Update Readme.md (963bb1c2),rpp
5691,Observable construction,Specific observable construction,0.803517,0.802252,0.806242,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5692,Observable construction,Specific observable construction + as_dynamic,116.798,116.08,118.995,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5693,Observable subscribe #2,Specific observable subscribe lambda,891.571,884.714,915.607,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5694,Observable subscribe #2,Dynamic observable subscribe lambda,1060.83,1055.79,1079.25,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5695,Observable subscribe #2,Specific observable subscribe specific subscriber,878.759,873.793,900.0,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5696,Observable subscribe #2,Dynamic observable subscribe specific subscriber,1071.62,1062.42,1095.92,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5697,Observable subscribe #2,Specific observable subscribe dynamic observer,924.929,919.821,946.786,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5698,Observable subscribe #2,Dynamic observable subscribe dynamic observer,968.63,957.926,991.852,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5699,Observer construction,Specific observer construction,0.414457,0.413814,0.415879,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5700,Observer construction,Dynamic observer construction,114.595,112.973,118.707,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5701,Observer construction,Specific observer construction + as_dynamic,110.629,110.29,111.634,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5702,OnNext,Specific observer OnNext,0.446758,0.445857,0.448344,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5703,OnNext,Dynamic observer OnNext,2.02046,2.00706,2.06332,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5704,Subscriber construction,Make subsriber,336.693,335.013,343.107,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5705,Subscriber construction,Make copy of subscriber,34.568,34.5133,34.6816,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5706,Subscriber construction,Transform subsriber to dynamic,151.518,151.024,152.747,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5707,Observable subscribe,Specific observable subscribe specific observer,1211.43,1200.24,1243.52,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5708,Observable subscribe,Specific observable subscribe dynamic observer,1248.62,1238.43,1292.62,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5709,Observable subscribe,Dynamic observable subscribe specific observer,1406.06,1391.56,1445.06,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5710,Observable subscribe,Dynamic observable subscribe dynamic observer,1286.6,1276.95,1326.9,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5711,Observable lift,Specific observable lift specific observer,1257.67,1245.52,1292.52,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5712,Observable lift,Specific observable lift dynamic observer,1283.9,1271.9,1319.45,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5713,Observable lift,Dynamic observable lift specific observer,1447.67,1435.28,1502.39,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5714,Observable lift,Dynamic observable lift dynamic observer,1351.0,1338.63,1387.0,0.95,Windows MSVC,Update Readme.md (963bb1c2),rxcpp
5715,Observable construction,Specific observable construction,0.803839,0.802567,0.808909,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5716,Observable construction,Dynamic observable construction,25.2669,25.2175,25.4421,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5717,Observable construction,Specific observable construction + as_dynamic,24.7942,24.7502,24.9868,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5718,Observable subscribe #2,Specific observable subscribe lambda,7.76165,7.74013,7.86372,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5719,Observable subscribe #2,Dynamic observable subscribe lambda,38.1455,38.0423,38.3355,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5720,Observable subscribe #2,Specific observable subscribe specific subscriber,4.54327,4.52247,4.57396,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5721,Observable subscribe #2,Dynamic observable subscribe specific subscriber,36.9979,36.8726,37.2221,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5722,Observable subscribe #2,Specific observable subscribe dynamic observer,5.63568,5.61789,5.70655,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5723,Observable subscribe #2,Dynamic observable subscribe dynamic observer,9.66648,9.6474,9.72484,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5724,Observer construction,Specific observer construction,0.803989,0.802647,0.808537,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5725,Observer construction,Dynamic observer construction,24.8287,24.7782,24.9861,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5726,Observer construction,Specific observer construction + as_dynamic,25.0416,24.9762,25.2026,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5727,OnNext,Specific observer OnNext,0.402047,0.401467,0.404355,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5728,OnNext,Dynamic observer OnNext,2.41178,2.40797,2.42952,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5729,Subscriber construction,Make subsriber,25.7344,25.471,26.2031,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5730,Subscriber construction,Make copy of subscriber,4.47456,4.46786,4.50084,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5731,Subscriber construction,Transform subsriber to dynamic,28.8368,28.7442,28.9829,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5732,Observable subscribe,Specific observable subscribe specific observer,26.1547,26.1012,26.3615,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5733,Observable subscribe,Specific observable subscribe dynamic observer,33.7782,33.6783,33.9789,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5734,Observable subscribe,Dynamic observable subscribe specific observer,62.3166,62.1277,62.7398,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5735,Observable subscribe,Dynamic observable subscribe dynamic observer,37.2622,37.1408,37.4255,0.95,Linux GCC,Update Index.md (3198f43c),rpp
5736,Observable lift,Specific observable lift specific observer,33.3633,33.2708,33.6655,0.95,Linux GCC,Update Index.md (3198f43c),rpp
